PowerDemand,HeatDemand,PV,Wind
103.6468046,257.5989877,0,174.7356407
113.5047133,248.7082681,0,181.3829381
124.3715401,239.2924293,21.30426438,201.9841706
131.84158,229.8947494,66.26915915,194.8882707
136.4641009,222.7393772,108.8530778,200.4636261
137.0856406,217.2866573,175.0827469,200.999633
133.4720377,210.675016,108.8172778,205.6942216
131.4599836,204.0270807,153.7379924,204.5392387
131.1882406,196.9043497,87.49782334,210.0012062
133.4344562,190.12583,0,223.8814306
144.3301917,184.2350848,0,235.2595078
156.6251143,178.8333064,0,246.0900674
151.6036517,173.9749476,0,257.3469224
140.2916291,169.1710403,0,259.5875533
131.8965068,164.89225,0,261.1518027
124.1113607,160.5952985,0,260.6914923
115.9301636,156.9905086,0,257.2606606
106.9944463,154.5088519,0,237.1027075
100.024529,152.8600617,0,241.867513
94.05774784,152.2257205,0,198.4501982
90.81417785,152.5009092,0,162.6324219
89.70696992,153.736094,0,139.4074628
90.2996008,155.2790274,0,143.2750105
92.2480555,157.2024649,0,132.6597723
96.90815783,159.1259012,0,134.7610196
105.0546643,160.2340946,0,147.9737913
113.6984025,160.8171688,21.21639415,154.961075
120.4601763,162.396559,65.99448845,173.8845597
124.1980871,163.827206,108.3995767,184.7763671
125.3978033,164.1347175,65.97016839,201.0722138
125.2590409,163.8267285,65.95795836,207.8360919
124.3021589,161.9608674,44.74884422,222.108795
123.8107089,158.7507376,21.19285409,228.6890548
125.9383983,152.4069264,0,235.392462
137.7967977,144.668523,0,230.5519495
153.2803635,136.9843498,0,227.9143214
150.61497,130.604385,0,236.5783073
141.1675665,126.5612389,0,242.9976205
132.9285518,123.9126827,0,244.5462576
125.9181621,124.3978055,0,243.4353422
116.3724686,126.3358789,0,239.6804854
105.306171,128.7449806,0,238.1960068
99.83083988,131.7695805,0,234.4824692
96.3241996,135.482577,0,200.4126629
94.98861195,139.779051,0,182.0432247
95.37309931,144.3834163,0,183.4170179
97.62798753,149.7302668,0,168.6666634
106.0549096,155.7836737,0,186.1583323
128.7367724,161.6197112,0,182.3637353
154.4338255,167.5099788,0,165.3091288
161.6552496,173.2011797,0,146.0582797
160.368807,177.4976456,21.11425389,147.9287285
161.767994,180.1237903,65.67541764,146.2462358
160.9961284,180.6486423,65.6619776,158.9733082
158.6920952,179.4711522,65.64847757,184.6433587
159.4928696,176.1923695,21.09693385,183.2943172
158.1370458,172.2214228,21.09256384,171.4369096
155.0784923,167.6165301,0,169.5355826
162.2565531,163.899412,0,175.9572928
174.8174369,161.2146814,0,174.8483458
167.3676331,158.9646861,0,188.8513767
157.0645285,158.0733522,0,199.9706215
146.6660247,157.0550303,0,215.9285799
136.9700053,155.801179,0,209.7962936
124.6461739,153.6092273,0,214.8145433
112.8542648,151.7796197,0,217.1175389
104.5661051,150.2394579,0,212.3546114
100.4494887,150.0397976,0,201.265134
98.95779341,152.4886134,0,195.0420836
99.21219105,157.8537399,0,188.2968798
101.0710284,165.4829295,0,175.7552485
109.2753525,173.8186755,0,172.3610504
132.1480136,182.0457363,0,169.6392468
158.0618829,188.588081,0,168.3716341
165.2775252,192.5403079,21.01110363,167.6661798
163.3521975,193.9022742,65.35334681,167.9891798
164.644422,193.2678669,86.34048038,157.4085465
164.0922634,190.6408511,107.3181739,160.6296709
161.2967802,187.3983346,65.3094067,152.9909975
162.1466996,183.6847875,86.28218023,165.3296213
160.834239,179.3877607,65.27982663,166.5188323
158.1659546,175.1088926,0,138.6498159
164.8323293,171.1743785,0,133.4897429
